Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,OTP_Q1,National_Q1,Target_Q2,ActualOutput_Q2,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,National_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,OTP_Summary,National_Summary,ValidatedAudited_Summary2,UID
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,"Number of new police stations  established, as per the SAPS Infrastructure Development Programme",Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Number of new SAPS Act recruits enlisted annually,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,10 000 by 31 March 2024,,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Annually,Percentage of planned forensic investigations finalised,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of Closed Circuit Television (CCTV) systems implemented at identified sites,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",10 sites,23 sites,"Overperformance is attributable to suppliers who responded positively to SAPS requests for quotations and orders issued by the end of March 2023. The hands-on approach of SAPS personnel in the provinces, which ensured that suppliers expedited the implementation and commissioning of the prioritised sites, also contributed to the overperformance. In addition, 11 of the 57 roll-over sites from the previous financial year 2022/23 were completed.",Not applicable,,,21 sites,,,,,,33 sites,,,,,,45 sites,,,,,,45 sites,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of identified  National Network Communication Infrastructure sites modernised and implemented,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",20 WAN sites,34 WAN sites,"Due to the appointment of service contractors for installations and the delivery of equipment to respective provinces, more sites were modernised.",Not applicable,,,55 WAN sites,,,,,,90 WAN sites,,,,,,120 WAN sites,,,,,,120 WAN sites,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of incidents of unauthorised expenditure,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",Zero incidents ,Zero incidents ,Not applicable ,Not applicable,,,Zero incidents ,,,,,,Zero incidents ,,,,,,Zero incidents ,,,,,,Zero incidents ,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Number of SAPS-owned firearms confirmed as stolen/lost,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",163,221,"The escalation of robbery in a township or other place, as well as housebreaking (property locked), negligence of members, theft from a dwelling, and loss from person.","The bar coding and marking of all SAPS-owned firearms with the SAPS emblem, IBIS testing to create firearm profiles, biannual inspections, the issuing of safes to members for the safekeeping of firearms, the issuing of retention cords, daily parade inspections, control over and the safekeeping of firearms not under the direct and physical control of a member and inspections by designated supply chain personnel are all measures taken to prevent the loss of SAPS-owned firearms.",,,326,,,,,,489,,,,,,652,,,,,,Reduce to 652 (10%),-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage decrease in confirmed incidents of irregular expenditure,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Decrease, by 72,25%","0% (4 confirmed incidents during the 1st quarter, in 2023/24, compared to 4 confirmed incidents during the same period, in 2022/23).",Non-compliance to prescripts.,A new round of National Intervention Road Show will be conducted after the finalisation of the Post Audit Action Plan with all the divisions and provinces with the primary objective of guiding the Provincial and Divisional Irregular Expenditure Committees and to finalise and prevent irregular spending.,,,"Decrease, by 72,25%",,,,,,"Decrease, by 72,25%",,,,,,"Decrease, by 72,25%",,,,,,"Decrease, by 72,25%",-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage decrease in value of fruitless and wasteful expenditure,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","Decrease, by 90%","Increased, by 565,78% (R31 658,78 during the 1st quarter, in 2023/24 compared to R4 755.27 during the 1st quarter, in 2022/23).","Although instances of fruitless and wasteful spending have increased, their monetary value is minimal compared to departmental spending.
R26 364.20 or 83,28% of the confirmed fruitless and wasteful expenditure relates to penalties on vehicle licenses paid after the grace period from the following environments:
Mpumalanga - R26 202,20
KwaZulu-Natal - R162
Vehicle registration certificate:
KwaZulu-Natal - R2320
Wrong fuel:
Northern Cape - R1774,58
Locksmith:
Corporate Support - R1 200",The department is in a process of finding measures to prevent late payments by engaging with the Road Traffic Management Corporation to have an automated system that will assist with the vehicle license renewals.,,,"Decrease, by 90%",,,,,,"Decrease, by 90%",,,,,,"Decrease, by 90%",,,,,,"Decrease, by 90%",-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of audits completed in terms of the Internal Audit Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",7%,"24,41% (31 from a total of 127).","Two audits, the performance audit on the Annual Performance Plan, Annual Operational Plan and the Technical Indicator Description, as well as the Assurance Review on Procurement and Distribution of Vehicles performance audit, were delayed due to an extended period of illness, resignations and transfer of audit personnel. The Assurance Review on Management and Distribution of DNA Reports performance audit was delayed, as a result of the client's failure to submit requested information/documents. The audit was rescheduled to a different quarter and substituted with an audit that was originally scheduled for quarter two. Project 10 000 was completed on schedule, but the client requested that the report be presented to the Executive Committee, on 31 July 2023.",Not applicable,,,30%,,,,,,60%,,,,,,100%,,,,,,100%,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of inspections executed in terms of the approved Inspection Plan,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",24% (77),"28,48% (88 from a total of 309).","A total of 11 emerging inspections (additional) were executed, based on service delivery requirements. According to the SAPS's approved organisational structure, the Provincial Inspectorate is under the command of the respective Provincial Commissioner, who can deploy provincial inspection teams as needed. The inspection of police stations contributing to high domestic violence and GBV-related service complaints, the inspection of police stations prior to an audit by the AGSA, tasks arising from Ministerial Imbizo's and PCoP oversight visits to address service delivery, etc., are examples of such emerging priorities.",Not applicable,,,57% (154),,,,,,76% (232),,,,,,100% (309),,,,,,100% (309),-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of IPID-related cases finalised within the prescribed timeframe,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster","90% finalised, within 60 calendar days",100% (one case was finalised within the prescribed timeframe). A total number of two of the three cases placed on roll were still pending within 60 calendar days.,The small number of cases placed on the roll.,Not applicable,,,"90% finalised, within 60 calendar days",,,,,,"90% finalised, within 60 calendar days",,,,,,"90% finalised, within 60 calendar days",,,,,,"90% finalised, within 60 calendar days",-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of learners assessed and declared competent upon completion of specified training in Leadership and Management Development Programmes,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",97% of learners assessed and declared competent,100% (All 1 162 learners assessed were declared competent).,"Trainers went above and beyond to prepare learners for assessments, devoting special attention to those with learning difficulties.
Learners teach each other after hours (peer teaching).
Monitoring the time spent studying.",Not applicable,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of learners assessed and declared competent upon completion of specified training in prioritised training areas: Crime investigations,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",97% of learners assessed and declared competent,"99,82% (4 430 learners were assessed and 4 422 learners were declared competent).","Trainers went above and beyond to prepare learners for assessments, devoting special attention to those with learning difficulties.
Learners teach each other after hours (peer teaching).
Monitoring the time spent studying.",Not applicable,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of learners assessed and declared competent upon completion of specified training in prioritised training areas: Crime prevention,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",97% of learners assessed and declared competent,"99,86% (4 222 learners were assessed and 4 216 learners were declared competent).","Trainers went above and beyond to prepare learners for assessments, devoting special attention to those with learning difficulties.
Learners teach each other after hours (peer teaching).
Monitoring the time spent studying.",Not applicable,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,-,,,,,,,389
Police,South African Police Service,National,Programme 1: Administration,Programme 1: Administration,Quarterly,Percentage of learners assessed and declared competent upon completion of specified training in prioritised training areas: Gender-based violence and crimes against vulnerable groups,Not Applicable,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,"Justice, Crime Prevention and Security cluster",97% of learners assessed and declared competent,"99,97% (6 790 learners were assessed and 6 788 learners were declared competent).","Trainers went above and beyond to prepare learners for assessments, devoting special attention to those with learning difficulties.
Learners teach each other after hours (peer teaching).
Monitoring the time spent studying.",Not applicable,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,,,,,,97% of learners assessed and declared competent,-,,,,,,,389
