Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Priority,Cluster,Target_Q1,ActualOutput_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,Target_Q4,ActualOutput_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q1,CorrectiveAction_Q1,National_Q1,ReasonforDeviation_Q2,CorrectiveAction_Q2,OTP_Q2,National_Q2,ReasonforDeviation_Q3,CorrectiveAction_Q3,OTP_Q3,National_Q3,ReasonforDeviation_Q4,CorrectiveAction_Q4,OTP_Q4,OTP_Q1,National_Q4,UID
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,3.2.1 Number of family members participating in Family Preservation services.  ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Economic Sectors, Employment and Infrastructure Development cluster",25067,26740,24819,27075,24294,26618,24733,27534,98913,107967,107967,"The overachievement is due to additional households in need of therapeutic services. Increased number of foster care cases reviewed, flood victims, number of referrals from war rooms, SRD cases and families affected by heavy rains. Siblings admitted in CYCCs who could not be separated . 
","To continue manage and render services demanded within the family preservation services. 
",,"Over-achievement due to increased participation of families in crisis & families at risk and families affected by heavy winds and reviews of Section 176 foster care cases. 
","To continue manage and render services demanded within the family preservation services. 
",Targeted output is overachieved with reasons for deviation and corrective action included.,"The overachievement is due to the increase in the number of families that were affected by the floods in Ilembe. Natural disasters that occurred in Jozini and Umhlabuyalingana. Increased identification of families in crisis & at risk affected by storms and fire disasters at Mpofana and Vulindlela. 
","To continue manage and render services demanded within the family preservation services. 
",N/A,Reasons for deviation and corrective action are noted for this indicator with overachievement reported.,"The overachievement is due to  increased identification of families in crisis, families in transit & families at risk affected by disasters. High intake of abuse cases and teenage pregnancies, preservation of families with children in foster and families who benefitted from Social Relief of Distress Programmes. 
","To continue manage and render services demanded within the family preservation services. 
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to additional households in need of therapeutic services. Increased number of foster care cases reviewed, flood victims, number of referrals from war rooms, SRD cases and families affected by heavy rains. Siblings admitted in CYCCs who could not be separated . 
","To continue manage and render services demanded within the family preservation services. 
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,3.2.2 Number of family members re-united with their families. ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Economic Sectors, Employment and Infrastructure Development cluster",267,457,295,443,309,536,294,507,1165,1943,1943,"The overachievement is due to increased number of beneficiaries from the VEP shelters reunited with their families, clients that were ready for reunification, high number of children from CYCC reunited with their families & home circumstances that are more conducive for reunification services to take place.
","To manage the reunification process taking into consideration the demand of the services.
",,"Over-achievement due to successful reunification of victims of crime & violence at VEP shelters and White Door Centres of Hope as well as higher number of children from same families that were reunited
","To manage the reunification process taking into consideration the demand of the services.
",Targeted output is overachieved with reason for deviation and corrective action included.,"The overachievement is due to the increased number of families members reunited due to improved home circumstances. Victims of crime & violence placed at VEP shelters and White Door Centres of Hope and service users placed  at Substance Abuse Rehabilitation Centres were discharged/released and reunited with their families. 
","To manage the reunification process taking into consideration the demand of the services.
",N/A,Reasons for deviation and corrective action are noted for this indicator with overachievement reported.,"The overachievement is due to movement and reunification of victims of crime & violence at VEP shelters and White Door Centres of Hope, reunification of children from CYCCs with their families and a high number of cases that required reunification services. 
","To manage the reunification process taking into consideration the demand of the services.
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to increased number of beneficiaries from the VEP shelters reunited with their families, clients that were ready for reunification, high number of children from CYCC reunited with their families & home circumstances that are more conducive for reunification services to take place.
","To manage the reunification process taking into consideration the demand of the services.
",,,Overachievement for this indicator is noted with reason for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.2: Care and Services to Families,Quarterly,3.2.3 Number of family members participating in parenting programmes. ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Economic Sectors, Employment and Infrastructure Development cluster",17499,19036,17443,18964,17036,18510,17254,18828,69232,75338,75338,"The overachievement is due to increased attendance of parents in the parenting programmes in preparation for placing children on Leave of Absence. Empowerment of new foster care parents on Parenting Skills including parents who were reunited with the children from CYCCs. More beneficiaries participated due to empowerment of  teenage parents. Implementation of Parenting Programme rendered to flood disaster victims who were displaced. 
","To manage the parenting programmes process taking into consideration the demand of the services
",,"Over-achievement due to increased participation and implementation of the programme, at all offices and NPO’s, increase in social ills(Teenage pregnancy) necessitating the implementation of parenting skills programmes, increased number of awareness campaigns held regarding the issues raised by children in different platforms. 
","To manage the parenting programmes process taking into consideration the demand of the services
",The same comment as above applies.,"The overachievement is due to existing, new foster and teen parents were capacitated. Increased participation and implementation of the programme at all districts and funded NPO’s. Awareness campaigns held regarding the issues raised by children on different platforms 
","To manage the parenting programmes process taking into consideration the demand of the services
",N/A,Reasons for deviation and corrective action are noted for this indicator with overachievement reported.,"The overachievement is due to iincreased participation of teenage parents and parents of the teenagers in the Teenage Parenting Skills Programme, prospective foster parents who applied for foster care placement as well as number of people attended exceeded the number of people invited to attend.
","To manage the parenting programmes process taking into consideration the demand of the services
",Noted.,The same comment as above applies.,"The overachievement is due to increased attendance of parents in the parenting programmes in preparation for placing children on Leave of Absence. Empowerment of new foster care parents on Parenting Skills including parents who were reunited with the children from CYCCs. More beneficiaries participated due to empowerment of  teenage parents. Implementation of Parenting Programme rendered to flood disaster victims who were displaced. 
","To manage the parenting programmes process taking into consideration the demand of the services
",,,The same comment as above applies.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,3.3.1 Number of reported cases of child abuse,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",713,926,736,938,740,895,726,941,2915,3700,3700,"The overachievement is due to additional cases reported as a result of roll-out of awareness programmes & referrals by the Child Welfare. Case referrals as a result of strengthened working relationships with stakeholders(Media platforms, DoH, DoE, Funded NPOs & SAPS).  
","To monitor the program closely and continue rendering the service. 
",,"Over-achievement due to increase in the number of child abuse cases that received intervention, strengthening of prevention  and early intervention programmes during commemoration of the Child Protection month.  
","To monitor the program closely and continue rendering the service. 
",Overachievement reported as well as the reasons for deviation and corrective action. This shows that the department is taking seriousness in the awareness of these programmes.,"The overachievement is due to more child abuse cases reported after the intensification of outreach programmes, more case referrals as a result of strengthened working relationships with other stakeholders such as DoH, DoE & SAPS. Increased number of referrals from child line and Thuthuzela Day care centre. 
","To monitor the program closely and continue rendering the service. 
",N/A,Overachievement for this indicator shows a lot of dedication especially with indicators reporting abuse.,"The overachievement is due to increased referrals and reported cases of child abuse after the intensification of Child Abuse Awareness Programmes & as a result of strengthened working relationships with other stakeholders like DOH, DOE & SAPS.
","To monitor the program closely and continue rendering the service. 
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to additional cases reported as a result of roll-out of awareness programmes & referrals by the Child Welfare. Case referrals as a result of strengthened working relationships with stakeholders(Media platforms, DoH, DoE, Funded NPOs & SAPS).  
","To monitor the program closely and continue rendering the service. 
",,,Overachievement for this indicator shows determination in terms of awareness with regards to services of abuse cases.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,3.3.2 Number of children with valid foster care orders,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",41469,43819,41469,43651,41469,43620,41469,38896,41469,43819,43819,".Over-achievement due to strengthening of relationship with DOJ to address foster care backlog, foster care cases that were in line with the NGHCO &  newly placed foster care cases and caseload audit. 
","Revised targets is in line with funding and has been decreased to reflect the number of children with Valid foster care orders for next financial year.
",,"Over-achievement due to increase number of children newly placed in foster care and children beyond 18 years who enrolled for higher/college education, internship & learnership as well as reviewed orders for finalisation of  foster care backlog. 
","To monitor the program closely
",Overachievement recorded for this indicator as well as the reasons for deviation and corrective action.,"The overachievement is due to children who are over 18 years who enrolled at Tertiary institutions as well as the Courts who have not yet started to implement the Amended Children's Act on Foster Care. Reviewed orders as part of foster care Sustainability Plan. Court orders that were extended in terms of 176 and SOCPEN report 
","To monitor the program closely
",N/A,Overachievement for foster care indicators shows performance in terms of services for foster care programme.,"The overachievement is due to increase number of children newly placed in foster care and reviews of foster care cases. Increased in the extension of orders for section 176 and finalization of fostercare backlog.
","To monitor the program closely
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The underachievement is due to high number of children aged out of foster care and those that have completed matric but could not secure admission to the institutions of higher learning & children placed in foster care existed on foster care system. 
","To monitor the program closely
",,,Performance for this indicator shows an improvement with regards to services related to foster care.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,3.3.3 Number of children placed in foster care,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",326,466,341,493,316,459,322,370,1305,1788,1788,"Over-achievement due to high intake and referral of families in crisis from War-Room Meetings, more families participated in family preservation services & awareness campaigns and marketing of DSD services during commemoration of calendar events. 
","Targets are in line with the newly amended Act for new financial year.
",,"Over-achievement due to increased intake and finalisation of unrelated foster care placements & newly placed children in foster care. 
","To closely monitor the implementation of the program. 
",Targeted output is overachieved with reasons for deviation and corrective action provided.,"The overachievement is due to children in need of care cases reported and finalised, Intensification of child protection programmes, engagement sessions with DOJ, cases that were advertised in February and there were no turnouts of the children's parents, as well as new cases that qualified for placement in foster care. 
","To closely monitor the implementation of the program. 
",N/A,Overachievement for foster care indicators shows performance in terms of services for foster care programme.,"The overachievement is due to  increased intake and finalisation of foster care placements, more than one child from the same household who needed to be placed on foster care and those transferred from CYCCs to Foster Care Placements. Increase in the number of children requiring placement in terms of section 171 and 156. 
","To closely monitor the implementation of the program. 
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to placement with related foster parents based on financial circumstances of children. Increased number  of children placed in alternative care by the Child Welfare. More than one child from the same household who needed to be placed on foster care. Increase in the number of children requiring placement in terms of section 171 and 156.
","To closely monitor the implementation of the program. 
",,,Performance for this indicator shows an improvement with regards to services related to foster care.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,3.3.4 Number of children in foster care reunified with their families ,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",6,29,9,29,30,37,10,23,55,118,118,"Over-achievement due to circumstances that allowed the children to be reunified with their families. 
","To closely monitor the implementation of the program. 
",,"Over-achievement due to families of the children were traced and successfully reunified & improved home circumstances of the children's families. 
","To closely monitor the implementation of the program. 
",Targeted output is overachieved with reasons for deviation and corrective action provided.,"The overachievement is due to children in foster care who were reunified with their biological parents & improved circumstances of the family 
","To closely monitor the implementation of the program. 
",N/A,Overachievement for foster care indicators shows performance in terms of services for foster care programme,"The overachievement is due to  success in family reconstructive services which resulted to conducive environment for family reunification .
","To closely monitor the implementation of the program. 
",Noted.,The same comment as above applies.,"The overachievement is due to siblings reunified with their families & more beneficiaries from same families re-unified. 
","To closely monitor the implementation of the program. 
",,,Performance for this indicator shows an improvement with regards to services related to foster care.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.3: Child Care and Protection,Quarterly,3.3.5 Number of children granted of leave of absence in alternative care placements.,Non-Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",656,857,256,445,861,1231,177,230,1950,2763,2763,"Over-achievement due to increased number of children in need of LOA in preparation for reunification services & improvement in the home circumstances which necessitate the child be granted leave of absence. 
","The Department will continue to render programmes that ensures that home circumstances are improved to enable re-unification services. The target has been revised to take into consideration improved leave of absence.
",,"Over-achievement due to children in CYCC’s were granted LOA to their families after they were traced, successful recruitment of host families & intensification of reunification services for children in alternative care placements.
","To closely monitor the implementation of the program
",,"The overachievement is due to parenting programmes implemented to families with children in CYCCs. Siblings could not be separated. More children qualified for Leave of Absence after social workers’ interventions. 
","To closely monitor the implementation of the program. 
",N/A,,"The overachievement is due to more children in CYCC’s were granted LOA due to improved family home circumstances. Intensification of reunification services for children in alternative care placements. 
","To closely monitor the implementation of the program. 
",Noted.,,"The overachievement is due to release of children to families because of the March school holidays and availability of suitable parents, circumstances of households that were improved & children from the same family wo were granted LOA to attend family ceremony. 
","To closely monitor the implementation of the program. 
",,,,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.4: ECD and Partial Care,Quarterly,3.4.1 Number of registered partial care facilities,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",51,52,51,51,51,51,51,50,51,52,52,"Over-achievement in Ethekwini North due to registration of a new site under Durban
","The revised targets considers all registered partial care facilities in the Province. 
",,"Over-achievement from UGU: one facility met the requirements as per partial facility
","To consider the facility in the target setting.
",Targeted output is overachieved with reason for deviation and corrective action provided.,"No deviation from planned target
","No deviation from planned target
",N/A,Targeted output is achieved for this indicator.,"No deviation from planned target
","No deviation from planned target
",N/A,Targeted output achieved.,"The underachievement is due to a facility closed down due to financial constraints within KC.
","No deviation from planned target
",,,Under achievement recorded with reasons for deviation and corrective action reported.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.4: ECD and Partial Care,Quarterly,3.4.2 Number of children accessing registered partial care facilities,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",738,1028,738,1010,738,1011,738,989,738,1028,1028,"Over-achievement due increased enrolment of children with special needs. 
","The revised targets considers all registered partial care facilities and the children enrolled in the Province. 
",,"Over-achievement due to additional children enrolled at the partial care. UGU : compliance of one facility  & Tkwn North: increased attendance in respite care centres. 
","To consider the children in the newly registered facility. 
",Targeted output is overachieved with reasons for deviation and corrective action provided.,"The overachievement is due to increase in the enrolment of children  based on the revised capacity during re-registration & admission of a child with special needs. 
","To consider the children in the newly registered facility. 
",N/A,Overachievement with reason for deviation and corrective action is noted for this indicator.,"The overachievement is due to high number of new enrolments.
","To consider the children in the newly registered facility. 
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The overachievement is due to increase in the enrolment of children  based on the revised capacity during re-registration, increased attendance in respite care centres. 
","To consider the children in the newly registered facility. 
",,,Overachievement with reason for deviation and corrective action is noted for this indicator.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,3.5.1 Number of children placed in Child and Youth Care Centres.,Standardized,Max,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",3216,3255,3216,3330,3216,3283,3216,3073,3216,3330,3330,"Over-achievement due to increased of high number of referrals. & increased movement of children. 
","Revised targets is in line with funding and occupancy trends.
",,"Over-achievement due to increase in the number of children in need of care and protection admitted following an awareness conducted during child protection month & UMG: newly funded CYCC: Benjamin Generations. 
","To continue rendering the service efficiently. 
",Targeted output is overachieved with reasons for deviation and corrective action provided.,"The overachievement is due to children who were assessed for human trafficking at Estcourt who were also placed in the Facility. Increase in the number of applications received. New admissions because of replacements in the CYCCs. 
","To continue rendering the service efficiently. 
",N/A,Overachievement with reason for deviation and corrective action is noted for this indicator.,"The overachievement is due to movement of children out of the facilities creating bed space for new admissions. High number of child abuse cases where children needed to be placed in CYCCs. 
","To continue rendering the service efficiently. 
",Noted.,"Reason for deviation and corrective action are noted with targeted output overachieved.

","The underachievement is due children exiting the CYCCs in December and some reunified with the families, budget cuts of CYCCs & a CYCC (POR) is phasing out of service in UGU
","To continue rendering the service efficiently. 
",,,Underachievement with reason for deviation and corrective action is noted for this indicator.,100
Social Development,Social Development,KwaZulu-Natal,Programme 3: Children and Families,Sub Programme 3.5: Child and Youth Care Centres,Quarterly,3.5.2 Number of children in CYCCs reunified with their families,Standardized,Not  Applicable,Priority 6: Social Cohesion and Safer Communities,Human Settlement and sustainable livelihood  ,"The Social Protection, Community and Human Development cluster",20,37,19,56,157,223,22,115,218,431,431,"Over-achievement due to home circumstances improved as a results of parents being empowered with parenting skills & effectiveness of integration programmes and family strengthening support.
","The Department will continue to render programmes that ensures that home circumstances are improved to enable re-unification services. The target has been revised to take into consideration improved re-unification services.
",,"Over-achievement due to improved home circumstances of families warranting the reunification of children to their families
","To continue rendering the service efficiently. 
",Targeted output is overachieved with reason for deviation and corrective action provided.,"The overachievement is due to tracing of families and improved home circumstances of families. POR CYCC phasing out and children are being reunited with their families in Ugu. 
","To continue rendering the service efficiently. 
",N/A,Overachievement with reason for deviation and corrective action is noted for this indicator.,"The overachievement is due to tracing of families and improved home circumstances of families warranting the reunification of children to their families. 
","To continue rendering the service efficiently. 
",Noted.,Performance is noted for this indicator.,"The overachievement is due to increased number of children reunited with their families from the CYCCs because of improved home circumstances, more beneficiaries from same families re unified. 
","To continue rendering the service efficiently. 
",,,Overachievement with reason for deviation and corrective action is noted for this indicator.,100
